record_id,dataset,start_time,end_time,delta_time_seconds,cpu_usage_avg_percent,ram_usage_avg_mb,ram_usage_avg_percent,gpu_usage_avg_percent,gpu_memory_avg_mb,pred_token_count,ref_token_count,rouge1_f1,rouge2_f1,rougeL_f1,bleu,exact_match,token_f1,token_precision,token_recall,token_overlap_count,normalized_edit_distance,char_f1,bert_score_f1,semantic_similarity
28,StrategyQA,2025-10-21 19:35:59,2025-10-21 19:40:03,244.6452,0.0,0.0,0.0,,,99,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.05724416673183441
29,StrategyQA,2025-10-21 19:40:03,2025-10-21 19:44:08,245.0911,0.0,0.0,0.0,,,87,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.04731794074177742
30,StrategyQA,2025-10-21 19:44:08,2025-10-21 19:48:13,244.8773,0.0,0.0,0.0,,,101,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.004898697137832642
31,StrategyQA,2025-10-21 19:48:13,2025-10-21 19:52:19,245.9513,0.0,0.0,0.0,,,93,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.05615529417991638
32,StrategyQA,2025-10-21 19:52:19,2025-10-21 19:55:49,209.5981,0.0,0.0,0.0,,,76,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.010085560381412506
33,StrategyQA,2025-10-21 19:55:49,2025-10-21 19:59:52,243.2729,0.0,0.0,0.0,,,100,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.01837160252034664
34,StrategyQA,2025-10-21 19:59:52,2025-10-21 20:03:57,244.9409,0.0,0.0,0.0,,,84,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.018023254349827766
35,StrategyQA,2025-10-21 20:03:57,2025-10-21 20:07:35,217.9645,0.0,0.0,0.0,,,78,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.002642810344696045
36,StrategyQA,2025-10-21 20:07:35,2025-10-21 20:10:28,173.4852,0.0,0.0,0.0,,,65,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.03495845943689346
37,StrategyQA,2025-10-21 20:10:28,2025-10-21 20:14:35,246.7253,0.0,0.0,0.0,,,90,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0020863136742264032
38,StrategyQA,2025-10-21 20:14:35,2025-10-21 20:16:40,124.8255,0.0,0.0,0.0,,,61,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0026343390345573425
39,StrategyQA,2025-10-21 20:16:40,2025-10-21 20:20:44,243.8545,0.0,0.0,0.0,,,96,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.02679816260933876
40,StrategyQA,2025-10-21 20:20:44,2025-10-21 20:23:54,190.0967,0.0,0.0,0.0,,,70,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.001533331349492073
