level,group,metric,n,scot,mgcot,delta,ci_low,ci_high,rel_change_pct,p,effect_rb,discordant_scot_only,discordant_mgcot_only,favours,p_fdr,significant,ill_posed_dataset
dataset,QASports,semantic_similarity,300,0.09269665650499516,0.08430397821692165,-0.00839267828807351,-0.015029383024911419,-0.0015993580280846932,-9.053916942108103,0.0012260494920166992,-0.21569676700111481,,,SCoT,0.002408311502175659,True,True
dataset,SVAMP,semantic_similarity,300,0.1316199196432717,0.11590738740051161,-0.015712532242760067,-0.020989808131824255,-0.01024089176768515,-11.937807199203286,3.05316276366077e-07,-0.34162764771460424,,,SCoT,9.919558346070857e-07,True,False
dataset,StrategyQA,semantic_similarity,300,0.028644039928161256,0.052173320613025355,0.0235292806848641,0.016328754075189245,0.030624768555027288,82.14372254708175,7.135891253121967e-09,0.3868151107719243,,,MGCoT,2.9086393531317546e-08,True,False
dataset,aqua,semantic_similarity,300,0.12724618688536182,0.10957231056876476,-0.017673876316597066,-0.024519989622912058,-0.01058124509391686,-13.889513508581402,2.7847371568605603e-09,-0.3959246954595792,,,SCoT,1.1781580279025449e-08,True,False
dataset,asdiv,semantic_similarity,300,0.2754710003050665,0.21868777729570865,-0.05678322300935785,-0.06809923344415923,-0.04583247948841505,-20.61314002071872,9.248720000546208e-17,-0.5565950331051002,,,SCoT,1.5825587556490178e-15,True,False
dataset,clutrr,semantic_similarity,300,0.34051364575823145,0.2869961982655029,-0.05351744749272863,-0.06790684699934597,-0.03956922100251542,-15.716682182753589,3.189118234825915e-08,-0.374052629101351,,,SCoT,1.1474864676710068e-07,True,False
dataset,date,semantic_similarity,300,0.33220509968698025,0.43093556199843686,0.0987304623114566,0.0744572151430572,0.12480312190996483,29.719731095183434,1.0632967652985192e-11,0.4535562987736901,,,MGCoT,6.549908074238879e-11,True,False
dataset,gsm8k,semantic_similarity,300,0.7827588774760564,0.668336790932032,-0.11442208654402444,-0.14594508769902556,-0.08370775140030311,-14.617794807127494,0.0020957962150111305,-0.20491694352159467,,,SCoT,0.0039169006931033265,True,False
dataset,saycan,semantic_similarity,300,0.397626264517506,0.28854099197002747,-0.10908527254747848,-0.12343158087887181,-0.09479972433073756,-27.434121505994195,1.683237927348901e-34,-0.8356765186033479,,,SCoT,8.100582525366586e-33,True,True
dataset,MultiArith,bert_score_f1,300,0.7565135371685028,0.7636633461713791,0.007149809002876282,0.005053352226813634,0.009235005080699916,0.9450999422477965,1.761693707273626e-09,0.4015607580824972,,,MGCoT,7.707409969322115e-09,True,False
dataset,QASports,bert_score_f1,300,0.762920492887497,0.7764829576015473,0.013562464714050293,0.011081474954883258,0.016167597552140554,1.7777035537109716,4.51186149986783e-19,0.595406911928651,,,MGCoT,8.685333387245573e-18,True,True
dataset,SVAMP,bert_score_f1,300,0.7558313822746277,0.7614745664596557,0.005643184185028076,0.003659525170922279,0.00765306037664413,0.7466194600236449,2.0180995808186948e-07,0.3468004459308807,,,MGCoT,6.785749682228799e-07,True,False
dataset,StrategyQA,bert_score_f1,300,0.7685989244778951,0.7735066999991734,0.004907775521278381,0.0029151632636785505,0.006973671237627665,0.6385353095064771,0.00010974114225820309,0.2585127157639559,,,MGCoT,0.0002456415102872569,True,False
