model,aqua,asdiv,clutrr,date,gsm8k,MultiArith,QASports,saycan,StrategyQA,SVAMP
gemma2_2b,0.0046,0.0233,0.037,0.0835,0.0244,0.0262,0.04,0.0093,0.0196,0.0208
llama3.2_1b,-0.0062,-0.0087,-0.0164,-0.0411,-0.0649,-0.0135,0.0295,-0.01,0.0021,-0.0081
mistral_7b,-0.002,0.0006,-0.0139,0.0057,-0.0104,-0.0006,-0.0032,-0.0171,-0.0108,0.0017
openchat_7b,0.0045,0.021,0.0354,0.0658,0.0195,0.0191,0.017,-0.0037,0.0199,0.0124
phi3_mini,-0.0051,0.0016,-0.0071,0.0907,0.0076,0.009,0.0011,-0.0148,0.0006,0.0028
qwen2_1.5b,0.0045,0.0153,0.0025,0.0082,-0.0019,0.0028,-0.003,-0.0015,-0.002,0.0043
