group,metric,higher_is_better,n,scot,mgcot,delta,ci_low,ci_high,rel_change_pct,p,effect_rb,discordant_scot_only,discordant_mgcot_only,favours,p_fdr,significant,scope
ALL,accuracy,True,2400,0.48875,0.365,-0.12375,-0.14583333333333334,-0.10083333333333333,-25.319693094629155,1.5670525935866213e-27,-0.3902759526938239,529.0,232.0,SCoT,1.5670525935866213e-27,True,8 well-posed datasets
ALL,semantic_similarity,True,2400,0.2725643216451893,0.25246788393250125,-0.02009643771268808,-0.02619374523195203,-0.013969587165150416,-7.3730991611032,7.364701405128053e-11,-0.15404416631227347,,,SCoT,7.364701405128053e-11,True,8 well-posed datasets
ALL,bert_score_f1,True,2400,0.7817842575411001,0.7897945394615332,0.008010281920433045,0.006525789593656859,0.009445426676422357,1.0246154029280805,1.1742652578745621e-31,0.27688893927061653,,,MGCoT,1.1742652578745621e-31,True,8 well-posed datasets
ALL,rougeL_f1,True,2400,0.052710306287707065,0.07968381600536724,0.02697350971766017,0.02254618500675541,0.03159393808054139,51.17312271044581,4.3764380924926105e-15,0.20753766073358476,,,MGCoT,4.3764380924926105e-15,True,8 well-posed datasets
ALL,token_f1,True,2400,0.07088884597749726,0.07358148972599748,0.0026926437485002303,-0.00025712707205360923,0.005756959877534593,3.798402571477853,0.586893493429147,-0.015599857203247632,,,MGCoT,0.586893493429147,False,8 well-posed datasets
ALL,char_f1,True,2400,0.2738201339071742,0.2923517578405786,0.018531623933404406,0.01542311798159679,0.02176683748237871,6.767809097517526,2.76879208375773e-17,0.20495822841089342,,,MGCoT,2.76879208375773e-17,True,8 well-posed datasets
ALL,output_words,False,2400,126.86958333333334,103.73083333333334,-23.13875,-25.50254166666667,-20.83276041666667,-18.238217066738482,6.606834312284696e-73,-0.4299439707884854,,,MGCoT,6.606834312284696e-73,True,8 well-posed datasets
ALL,truncated,False,2400,0.21291666666666667,0.42,0.20708333333333334,0.185,0.23,97.26027397260275,1.4417379012807087e-67,0.5732410611303345,185.0,682.0,SCoT,1.4417379012807087e-67,True,8 well-posed datasets
ALL,delta_time_seconds,False,2400,104.45722654166667,97.03273241666666,-7.424494125000001,-9.59613240625,-5.28173284791667,-7.107688353221272,6.804050079215386e-07,-0.11705817020685826,,,MGCoT,6.804050079215386e-07,True,8 well-posed datasets
ALL,cpu_usage_avg_percent,False,2400,12.46111634266485,13.057206881308693,0.5960905386438428,0.49745959952811636,0.6881025014065172,4.783604632619672,2.486689620949751e-77,0.43868422879355823,,,SCoT,2.486689620949751e-77,True,8 well-posed datasets
ALL,gpu_usage_avg_percent,False,2400,6.1971420652828195,8.588207577358256,2.3910655120754374,2.2240279402539764,2.5624993814185477,38.5833580525851,0.0,0.8933222268499237,,,SCoT,0.0,True,8 well-posed datasets
ALL,gpu_memory_avg_mb,False,2400,3527.7698216224817,3530.6060781983233,2.8362565758413054,0.7096143683216929,5.307571039738732,0.08039800551774272,0.0008726129666720761,0.5576241134751773,,,SCoT,0.0008726129666720761,True,8 well-posed datasets
ALL,ram_usage_avg_mb,False,2400,11760.097464083943,11670.260263117754,-89.83720096618838,-99.40803244473227,-80.98700127236143,-0.7639154457737845,2.6971921897724987e-160,-0.6358052200472025,,,MGCoT,2.6971921897724987e-160,True,8 well-posed datasets
ALL,target_error,False,2399,0.43739987977656297,0.43215690840808396,-0.005242971368479057,-0.009275415736159089,-0.001267825343913674,-1.198667766245689,0.028595326453216705,0.051893882058486815,,,MGCoT,0.028595326453216705,True,8 well-posed datasets
ALL,answered,True,2400,0.8095833333333333,0.78125,-0.028333333333333332,-0.04334375,-0.012916666666666667,-3.4997426659804423,0.0004299583673045035,-0.18681318681318682,216.0,148.0,SCoT,0.0004299583673045035,True,8 well-posed datasets
ALL,metric_leak,False,2400,0.0,0.40125,0.40125,0.38125,0.42041666666666666,,2.5653355008114852e-290,1.0,0.0,963.0,SCoT,2.5653355008114852e-290,True,8 well-posed datasets
ALL,accuracy,True,3000,0.406,0.2986666666666667,-0.10733333333333334,-0.12500833333333333,-0.08966666666666667,-26.436781609195403,3.9707814262149415e-30,-0.3955773955773956,568.0,246.0,SCoT,3.9707814262149415e-30,True,all 10 datasets
ALL,semantic_similarity,True,3000,0.2670837494184016,0.23925880416469592,-0.027824945253705664,-0.03306077420904051,-0.022450727092950186,-10.418059995899016,7.764988633209688e-30,-0.24046004581030034,,,SCoT,7.764988633209688e-30,True,all 10 datasets
ALL,bert_score_f1,True,3000,0.77993961785237,0.7870731694102288,0.007133551557858785,0.005931329504648844,0.008320151914656161,0.9146286961933829,5.312015612412436e-32,0.24953200139083195,,,MGCoT,5.312015612412436e-32,True,all 10 datasets
ALL,rougeL_f1,True,3000,0.04868043241724297,0.06747245153205925,0.018792019114816278,0.015233069205800908,0.02257784133534505,38.60281879534005,0.011692014713883779,0.0597963792449909,,,MGCoT,0.011692014713883779,True,all 10 datasets
