model,aqua,asdiv,clutrr,date,gsm8k,MultiArith,QASports,saycan,StrategyQA,SVAMP
gemma2_2b,0.339,0.3336,0.5353,0.2894,0.0609,-0.0047,0.0819,0.057,0.1314,0.2555
llama3.2_1b,-0.0016,-0.0386,0.034,-0.2385,0.155,-0.0405,0.2306,0.188,-0.0988,-0.0645
mistral_7b,0.8084,1.1216,1.5286,0.1395,1.3238,0.857,0.9383,1.1764,1.1909,0.3286
openchat_7b,1.3809,0.9292,-0.9803,-0.3744,2.2645,1.2067,0.7712,0.5953,1.6145,1.4656
phi3_mini,2.8311,1.3798,1.6839,1.4306,1.1576,1.1753,1.5383,2.266,1.6007,1.704
qwen2_1.5b,-0.2943,-0.1718,-0.6265,0.2032,-0.0547,-0.0587,-0.2657,-0.7394,0.0619,0.138
