group,metric,higher_is_better,n,scot,mgcot,delta,ci_low,ci_high,rel_change_pct,p,effect_rb,discordant_scot_only,discordant_mgcot_only,favours,p_fdr,significant
gemma2_2b,output_words,False,400,135.475,75.045,-60.43,-64.7225625,-56.087187500000006,-44.606015870086736,3.276550316813184e-57,-0.9232434211359062,,,MGCoT,1.9659301900879101e-56,True
llama3.2_1b,output_words,False,400,154.2175,154.21,-0.0075,-6.805499999999999,6.885312499999995,-0.004863261303029812,0.28974289279903676,0.06131412731162108,,,MGCoT,0.28974289279903676,False
mistral_7b,output_words,False,400,124.735,132.5575,7.8225,2.6548749999999997,13.135312499999996,6.271295145708903,0.00015263233760418385,0.2187593984962406,,,SCoT,0.00018315880512502063,True
openchat_7b,output_words,False,400,124.9275,75.6975,-49.23,-53.0725,-45.28712500000001,-39.40685597646635,2.328343934612544e-55,-0.9042768079800498,,,MGCoT,6.985031803837632e-55,True
phi3_mini,output_words,False,400,124.23,104.09,-20.14,-25.4525,-14.922312500000002,-16.211865088947917,2.4661583465260174e-12,-0.40519640810569135,,,MGCoT,4.932316693052035e-12,True
qwen2_1.5b,output_words,False,400,97.6325,80.785,-16.8475,-21.602625,-12.012375,-17.256036668117687,7.501462423060702e-10,-0.3737928712447009,,,MGCoT,1.1252193634591053e-09,True
gemma2_2b,ram_usage_avg_mb,False,400,11596.462323788872,11541.00094624804,-55.461377540832416,-73.1304371084842,-38.27193047209235,-0.478261179938122,1.4112679620332688e-27,-0.62785536159601,,,MGCoT,2.8225359240665375e-27,True
llama3.2_1b,ram_usage_avg_mb,False,400,10185.212859250048,10150.237873087031,-34.97498616302035,-67.12345434411804,-13.230972938348946,-0.34338984021582447,2.061386234241153e-06,-0.2739152119700748,,,MGCoT,2.061386234241153e-06,True
mistral_7b,ram_usage_avg_mb,False,400,13002.939613110737,12926.13491225765,-76.80470085308565,-99.98287528645605,-55.725985591809845,-0.5906718260511202,1.2087834886376409e-21,-0.5514463840399002,,,MGCoT,1.8131752329564613e-21,True
openchat_7b,ram_usage_avg_mb,False,400,12568.33012904651,12486.681754296851,-81.64837474966069,-106.94505059376382,-60.05144272667915,-0.6496358220330651,7.818354039367357e-29,-0.6428927680798004,,,MGCoT,2.3455062118102072e-28,True
phi3_mini,ram_usage_avg_mb,False,400,13633.31315286628,13363.542982365181,-269.77017050109515,-289.50742258434013,-250.76037145342588,-1.9787572358695396,5.769197719540348e-66,-0.9898254364089776,,,MGCoT,3.4615186317242088e-65,True
qwen2_1.5b,ram_usage_avg_mb,False,400,9574.326706441205,9553.963110451768,-20.36359598943599,-33.503781266549645,-7.750144700304961,-0.2126895876211976,3.427905271564679e-07,-0.29416458852867833,,,MGCoT,4.113486325877615e-07,True
gemma2_2b,rougeL_f1,True,400,0.04610539327792552,0.12067647204488596,0.07457107876696044,0.06243474867056391,0.0868173794748884,161.74046779612615,1.164204691756682e-37,0.836490913900816,,,MGCoT,3.492614075270046e-37,True
llama3.2_1b,rougeL_f1,True,400,0.04409716452038601,0.012130048052700881,-0.03196711646768514,-0.03822289446639499,-0.02629587533843877,-72.49245346128053,3.9096530419385804e-47,-0.9604872646733111,,,SCoT,2.3457918251631484e-46,True
mistral_7b,rougeL_f1,True,400,0.04819011134176081,0.050070520102227664,0.001880408760466862,-0.005209465985089011,0.010231069685452185,3.9020635315223453,7.23504281232393e-05,-0.25716723210919984,,,MGCoT,8.682051374788717e-05,True
openchat_7b,rougeL_f1,True,400,0.05020570256852151,0.10544882070814358,0.05524311813962207,0.04585567779891425,0.06520746121689908,110.03355259141213,4.885979633320971e-36,0.7831626965752603,,,MGCoT,9.771959266641942e-36,True
phi3_mini,rougeL_f1,True,400,0.054824082481944016,0.10007317911072804,0.04524909662878403,0.030524513169056383,0.06270569632824038,82.53507323845602,1.938549703543083e-05,0.2701084317850785,,,MGCoT,2.9078245553146245e-05,True
qwen2_1.5b,rougeL_f1,True,400,0.07283938353570454,0.08970385601351728,0.016864472477812736,0.00947664413756476,0.024553229725435905,23.1529588241862,0.006478399117469434,0.18135105204872648,,,MGCoT,0.006478399117469434,True
gemma2_2b,semantic_similarity,True,400,0.2609072999644741,0.3050031903304625,0.044095890365988454,0.032836135820857176,0.055721595781251826,16.900979915852364,1.6343704133157845e-10,0.3688279301745636,,,MGCoT,3.268740826631569e-10,True
llama3.2_1b,semantic_similarity,True,400,0.267232359352638,0.09678267755429257,-0.1704496817983454,-0.19118055986140825,-0.14954612054994504,-63.78332407469455,6.332945251528355e-45,-0.8114713216957606,,,SCoT,3.799767150917013e-44,True
mistral_7b,semantic_similarity,True,400,0.2876630227896385,0.2383561588928569,-0.04930686389678158,-0.06191031091903278,-0.037136800570646306,-17.140494255613305,1.3938503587042492e-18,-0.5076309226932668,,,SCoT,4.181551076112748e-18,True
openchat_7b,semantic_similarity,True,400,0.2816225610626861,0.2988737377608777,0.017251176698191553,0.008160687159121152,0.02655492513292846,6.125637318649207,0.4202097021648151,0.04650872817955112,,,MGCoT,0.4202097021648152,False
phi3_mini,semantic_similarity,True,400,0.26898979292134756,0.29790297890052897,0.028913185979181435,0.015098881760306538,0.043476037463915415,10.748804133112825,0.009460653016002511,0.14972568578553616,,,MGCoT,0.014190979524003767,True
qwen2_1.5b,semantic_similarity,True,400,0.2689708937803516,0.2778885601559887,0.008917666375637052,0.0029697212775718056,0.015104563173845238,3.315476351474462,0.07629326611743475,0.10452023498694517,,,MGCoT,0.0915519193409217,False
gemma2_2b,target_error,False,400,0.4573175760835186,0.39977230963769,-0.05754526644582859,-0.06962638158431253,-0.04621897182507328,-12.583217758356888,1.0975213598487788e-17,-0.49408977556109723,,,MGCoT,3.2925640795463365e-17,True
llama3.2_1b,target_error,False,400,0.4549327277856554,0.4971631089465323,0.04223038116087691,0.032469166059948575,0.05122615902879053,9.282774920685425,5.010836122140219e-18,0.49927680798004986,,,SCoT,3.006501673284131e-17,True
mistral_7b,target_error,False,400,0.43984251592424073,0.4652730801631214,0.02543056423888064,0.01765746336866828,0.03260028711599226,5.781743082622064,1.2348441607434982e-16,0.4777306733167082,,,SCoT,2.4696883214869964e-16,True
openchat_7b,target_error,False,400,0.4308323198291275,0.40307544971199255,-0.027756870117134902,-0.035486999139383864,-0.02055996676476888,-6.442615569821586,2.6025504279158973e-09,-0.3435910224438903,,,MGCoT,3.903825641873846e-09,True
phi3_mini,target_error,False,399,0.4333175322498138,0.431068707800931,-0.0022488244488827725,-0.014668094593670826,0.009274245605599259,-0.5189784122527248,0.00016905060044689426,0.21729323308270676,,,MGCoT,0.0002028607205362731,True
qwen2_1.5b,target_error,False,400,0.4081464009182049,0.3965860736867184,-0.011560327231486638,-0.017988870670777694,-0.005221276443127784,-2.8323971999947637,0.015128919247122988,-0.1451448724749466,,,MGCoT,0.015128919247122988,True
gemma2_2b,token_f1,True,400,0.06716335661712457,0.08997626150775574,0.02281290489063119,0.01668869718733198,0.02891160048971698,33.96629656358569,1.0752717461684057e-08,0.39854014598540144,,,MGCoT,2.1505434923368115e-08,True
llama3.2_1b,token_f1,True,400,0.06632114284051942,0.01974129816970569,-0.04657984467081372,-0.0557365005964211,-0.03831109491086405,-70.23377866515804,7.561535023845545e-40,-0.9715940884105198,,,SCoT,4.536921014307327e-39,True
mistral_7b,token_f1,True,400,0.06857349164596523,0.058993033943954776,-0.009580457702010447,-0.015376483918051251,-0.00361354956091673,-13.971080474468078,2.8344714654097382e-08,-0.3854967822947732,,,SCoT,4.251707198114607e-08,True
openchat_7b,token_f1,True,400,0.069065622975384,0.09859974752175166,0.029534124546367675,0.024181492001912934,0.035042017449585204,42.76240953751198,1.129065625516477e-23,0.6830236159504453,,,MGCoT,3.387196876549431e-23,True
phi3_mini,token_f1,True,400,0.07501188761718894,0.08580876605489336,0.01079687843770443,0.00162239455754896,0.021220638181445775,14.393556515741286,0.8816463432501487,-0.009900772260236298,,,MGCoT,0.8816463432501487,False
qwen2_1.5b,token_f1,True,400,0.07919757416880141,0.08836983115792366,0.009172256989122246,0.004311482542749918,0.014427374790777008,11.58148729350287,0.004207961803435241,0.21627966692344375,,,MGCoT,0.005049554164122288,True
gemma2_2b,truncated,False,400,0.2625,0.1575,-0.105,-0.1475,-0.0625,-40.0,2.7318699228822653e-06,-0.525,61.0,19.0,MGCoT,4.0978048843233975e-06,True
llama3.2_1b,truncated,False,400,0.26,0.95,0.69,0.635,0.74,265.38461538461536,1.6848225894735075e-67,0.9019607843137255,15.0,291.0,SCoT,1.0108935536841045e-66,True
mistral_7b,truncated,False,400,0.2175,0.6925,0.475,0.4225,0.5275,218.39080459770116,4.728263442876991e-47,0.9047619047619048,10.0,200.0,SCoT,1.4184790328630972e-46,True
openchat_7b,truncated,False,400,0.1675,0.1,-0.0675,-0.105,-0.03,-40.298507462686565,0.00046000500864878935,-0.47368421052631576,42.0,15.0,MGCoT,0.0005520060103785472,True
phi3_mini,truncated,False,400,0.25,0.505,0.255,0.2,0.3125,102.0,2.980560240298678e-16,0.6219512195121951,31.0,133.0,SCoT,5.961120480597356e-16,True
qwen2_1.5b,truncated,False,400,0.12,0.115,-0.005,-0.04,0.03,-4.166666666666667,0.887724827340783,-0.04,26.0,24.0,MGCoT,0.887724827340783,False
