model,aqua,asdiv,clutrr,date,gsm8k,MultiArith,QASports,saycan,StrategyQA,SVAMP
gemma2_2b,-0.0111,0.0015,-0.2795,-0.0733,-0.0295,-0.0197,-0.1336,0.0188,-0.0501,0.0012
llama3.2_1b,-0.0524,0.0868,0.0402,0.1456,0.0404,0.07,0.0427,0.0349,-0.0745,0.0819
mistral_7b,0.0093,0.0571,0.0023,0.0432,0.0213,0.0423,0.0187,0.0604,-0.0243,0.0522
openchat_7b,0.0109,-0.0148,-0.1788,-0.0028,0.0068,-0.0024,0.0143,0.0602,-0.0319,-0.0089
phi3_mini,-0.0139,0.0762,0.0299,-0.1818,0.0135,0.0508,0.0316,0.0061,-0.0358,0.0449
qwen2_1.5b,-0.0143,-0.009,-0.0335,-0.0005,0.0063,0.0026,-0.0037,0.0163,-0.0373,-0.0069
