model,aqua,asdiv,clutrr,date,gsm8k,MultiArith,QASports,saycan,StrategyQA,SVAMP
gemma2_2b,-12.9735,-30.2027,-81.8382,-84.6694,-47.6132,-41.316,-104.883,-95.2128,-37.0924,-45.766
llama3.2_1b,3.4644,67.2424,58.7683,49.5955,24.4878,56.5425,-84.8594,-21.5037,-32.0696,40.2747
mistral_7b,6.2832,46.6852,59.6679,22.8747,16.8402,18.4933,19.347,66.2888,30.7383,19.1114
openchat_7b,-15.9216,-37.4379,-59.2192,-79.5068,-19.8277,-46.6816,-58.1205,-28.7908,-50.2508,-35.3957
phi3_mini,-20.2371,22.7416,41.7488,-66.8351,-14.3064,-5.8571,5.8113,23.3549,4.5685,0.0033
qwen2_1.5b,-13.8073,-22.9209,-7.1449,-16.9512,-0.59,-8.7391,18.69,-14.0427,0.4057,-11.7419
