record_id,start_time,end_time,delta_time_seconds,cpu_usage_avg_percent,ram_usage_avg_mb,ram_usage_avg_percent,gpu_usage_avg_percent,gpu_memory_avg_mb,pred_token_count,ref_token_count,rouge1_f1,rouge2_f1,rougeL_f1,bleu,exact_match,token_f1,token_precision,token_recall,token_overlap_count,normalized_edit_distance,char_f1,bert_score_f1,semantic_similarity
1,2025-10-20 22:30:01,2025-10-20 22:35:50,348.3058907985687,0.0,0.0,0.0,,,95,3,0.016260162601626015,0.0,0.016260162601626015,0.0,0.0,0.0,0.0,0.0,0,0.03483309143686497,0.5,0.788446307182312,0.27126920223236084
2,2025-10-20 22:36:12,2025-10-20 22:37:48,96.47619819641113,0.0,0.0,0.0,,,38,3,0.08510638297872342,0.0,0.08510638297872342,0.0,0.0,0.048780487804878044,0.02631578947368421,0.3333333333333333,1,0.0862745098039216,0.5853658536585367,0.810436487197876,0.37136125564575195
3,2025-10-20 22:37:54,2025-10-20 22:40:02,127.67293238639832,0.0,0.0,0.0,,,49,3,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0,0.03846153846153846,0.02040816326530612,0.3333333333333333,1,0.0672268907563025,0.5853658536585367,0.8029839992523193,0.3940947353839874
4,2025-10-20 22:40:08,2025-10-20 22:44:05,236.54080152511597,0.0,0.0,0.0,,,92,3,0.016666666666666666,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0,0.03822629969418956,0.5098039215686275,0.7886645197868347,0.27218496799468994
5,2025-10-20 22:44:09,2025-10-20 22:45:52,103.15697050094604,0.0,0.0,0.0,,,41,3,0.04347826086956522,0.0,0.04347826086956522,0.0,0.0,0.0,0.0,0.0,0,0.0852713178294574,0.5853658536585367,0.806049644947052,0.3341345489025116
6,2025-10-20 22:45:56,2025-10-20 22:47:15,79.11152267456055,0.0,0.0,0.0,,,35,3,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.05263157894736842,0.02857142857142857,0.3333333333333333,1,0.10576923076923073,0.5454545454545455,0.8083264827728271,0.36361458897590637
7,2025-10-20 22:47:21,2025-10-20 22:51:16,234.96358442306519,0.0,0.0,0.0,,,87,3,0.03418803418803419,0.0,0.03418803418803419,5.60020361889364e-232,0.0,0.022222222222222223,0.011494252873563218,0.3333333333333333,1,0.036127167630057855,0.5106382978723404,0.7899408936500549,0.33368101716041565
8,2025-10-20 22:51:21,2025-10-20 22:55:22,240.37210488319397,0.0,0.0,0.0,,,91,3,0.01652892561983471,0.0,0.01652892561983471,5.60020361889364e-232,0.0,0.02127659574468085,0.01098901098901099,0.3333333333333333,1,0.03639010189228531,0.5098039215686275,0.7928441762924194,0.30033987760543823
9,2025-10-20 22:55:43,2025-10-20 22:58:26,163.51535391807556,0.0,0.0,0.0,,,61,3,0.05970149253731343,0.0,0.05970149253731343,6.545917251136179e-232,0.0,0.03125,0.01639344262295082,0.3333333333333333,1,0.06593406593406592,0.5714285714285714,0.7988396883010864,0.25912365317344666
10,2025-10-20 22:58:32,2025-10-20 23:02:28,235.00585079193115,0.0,0.0,0.0,,,91,3,0.017543859649122806,0.0,0.017543859649122806,0.0,0.0,0.02127659574468085,0.01098901098901099,0.3333333333333333,1,0.03822629969418956,0.5306122448979592,0.7882031798362732,0.29395341873168945
11,2025-10-20 23:02:31,2025-10-20 23:04:31,119.96802473068237,0.0,0.0,0.0,,,51,3,0.06779661016949153,0.0,0.06779661016949153,0.0,0.0,0.037037037037037035,0.0196078431372549,0.3333333333333333,1,0.06382978723404253,0.5909090909090909,0.804315447807312,0.37440162897109985
12,2025-10-20 23:04:36,2025-10-20 23:08:31,234.48023223876953,0.0,0.0,0.0,,,84,3,0.034782608695652174,0.0,0.034782608695652174,5.625487347946324e-232,0.0,0.022988505747126436,0.011904761904761904,0.3333333333333333,1,0.03660322108345537,0.5531914893617021,0.7930209636688232,0.3090486228466034
13,2025-10-20 23:08:55,2025-10-20 23:11:34,159.37434887886047,0.0,0.0,0.0,,,63,3,0.030303030303030304,0.0,0.030303030303030304,6.518923202947529e-232,0.0,0.030303030303030304,0.015873015873015872,0.3333333333333333,1,0.06393861892583119,0.5777777777777778,0.8029151558876038,0.256776362657547
14,2025-10-20 23:11:39,2025-10-20 23:16:05,265.88143038749695,0.0,0.0,0.0,,,99,3,0.016,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0,0.033333333333333326,0.5531914893617021,0.792429506778717,0.25046640634536743
15,2025-10-20 23:16:12,2025-10-20 23:19:00,168.43997478485107,0.0,0.0,0.0,,,67,3,0.051948051948051945,0.0,0.051948051948051945,6.2542494559645334e-232,0.0,0.028571428571428574,0.014925373134328358,0.3333333333333333,1,0.054545454545454564,0.5416666666666667,0.8022418022155762,0.3544391691684723
16,2025-10-20 23:19:06,2025-10-20 23:23:02,236.48796272277832,0.0,0.0,0.0,,,79,3,0.05555555555555556,0.0,0.037037037037037035,5.761138600803475e-232,0.0,0.024390243902439022,0.012658227848101266,0.3333333333333333,1,0.03875968992248058,0.5306122448979592,0.7981728315353394,0.28925976157188416
