record_id,start_time,end_time,delta_time_seconds,cpu_usage_avg_percent,ram_usage_avg_mb,ram_usage_avg_percent,gpu_usage_avg_percent,gpu_memory_avg_mb,pred_token_count,ref_token_count,rouge1_f1,rouge2_f1,rougeL_f1,bleu,exact_match,token_f1,token_precision,token_recall,token_overlap_count,normalized_edit_distance,char_f1,bert_score_f1,semantic_similarity
21,2025-10-20 18:11:32,2025-10-20 18:14:33,180.94766855239868,0.0,0.0,0.0,,,65,1,0.030303030303030307,0.0,0.030303030303030307,0.0,0.0,0.030303030303030307,0.015384615384615385,1.0,1,0.0030030030030030463,0.04545454545454545,0.7719442844390869,0.1469217985868454
22,2025-10-20 18:14:36,2025-10-20 18:18:35,238.58717703819275,0.0,0.0,0.0,,,72,1,0.018018018018018018,0.0,0.018018018018018018,5.677823098089411e-232,0.0,0.0273972602739726,0.013888888888888888,1.0,1,0.001908396946564861,0.04878048780487806,0.772659957408905,0.2409040629863739
23,2025-10-20 18:18:38,2025-10-20 18:22:32,233.72446990013123,0.0,0.0,0.0,,,86,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.05128205128205127,0.783376157283783,0.015898631885647774
24,2025-10-20 18:22:35,2025-10-20 18:26:21,226.02596235275269,0.0,0.0,0.0,,,89,1,0.01904761904761905,0.0,0.01904761904761905,0.0,0.0,0.02222222222222222,0.011235955056179775,1.0,1,0.0,0.04545454545454545,0.7803097367286682,-0.026528913527727127
25,2025-10-20 18:26:24,2025-10-20 18:30:18,234.20028042793274,0.0,0.0,0.0,,,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.002083333333333326,0.04878048780487806,0.7895018458366394,0.08332796394824982
26,2025-10-20 18:30:24,2025-10-20 18:34:25,241.0705921649933,0.0,0.0,0.0,,,67,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.052631578947368425,0.7904918789863586,0.07747084647417068
27,2025-10-20 18:34:30,2025-10-20 18:38:32,241.39427304267883,0.0,0.0,0.0,,,57,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.05128205128205127,0.7756791114807129,0.12861041724681854
28,2025-10-20 18:38:38,2025-10-20 18:40:50,132.47660064697266,0.0,0.0,0.0,,,50,1,0.03278688524590164,0.0,0.03278688524590164,0.0,0.0,0.0392156862745098,0.02,1.0,1,0.003289473684210509,0.05714285714285715,0.7818427085876465,0.13781003654003143
29,2025-10-20 18:40:56,2025-10-20 18:44:58,241.61290216445923,0.0,0.0,0.0,,,64,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.047619047619047616,0.7859653234481812,0.049120284616947174
30,2025-10-20 18:45:04,2025-10-20 18:48:43,219.42247128486633,0.0,0.0,0.0,,,71,1,0.018018018018018018,0.0,0.018018018018018018,0.0,0.0,0.02777777777777778,0.014084507042253521,1.0,1,0.0017825311942959443,0.05405405405405406,0.7972670197486877,0.1666530817747116
31,2025-10-20 18:48:49,2025-10-20 18:52:46,237.43288826942444,0.0,0.0,0.0,,,62,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.04878048780487806,0.7809961438179016,0.07538817822933197
